CLIENT,MANDT,PERSNUMBER,DATE_FROM,NATION,TITLE,FIRSTNAME,LASTNAME,LANGU,LANGU_ISO,NAMEFORMAT,CONVERSNUMBER,NAME_FIRST,NAME_LAST
100,100,0000001000,2020-01-01,,,Maria,Garcia,E,EN,,,Maria,Garcia
100,100,0000001001,2020-01-01,,,James,Chen,E,EN,,,James,Chen
100,100,0000001002,2020-01-01,,,Priya,Nair,E,EN,,,Priya,Nair
100,100,0000001003,2020-01-01,,,Tom,Wilson,E,EN,,,Tom,Wilson
100,100,0000001004,2020-01-01,,,Linda,Park,E,EN,,,Linda,Park
100,100,0000001005,2020-01-01,,,Ahmed,Khan,E,EN,,,Ahmed,Khan
100,100,0000001006,2020-01-01,,,Carlos,Rivera,E,EN,,,Carlos,Rivera
100,100,0000001007,2020-01-01,,,Emma,Brown,E,EN,,,Emma,Brown
100,100,0000001008,2020-01-01,,,Robert,Smith,E,EN,,,Robert,Smith
100,100,0000001009,2020-01-01,,,Mei,Lin,E,EN,,,Mei,Lin
100,100,0000001010,2020-01-01,,,System,Automation,E,EN,,,System,Automation
100,100,0000001011,2020-01-01,,,Auto,Job,E,EN,,,Auto,Job
